Timestamp,"What is your major? (Double majors please pick your ""primary"" major.)",Which of the following do you prefer?,Have you taken a probability and statistics course before?,Which of the following best describes your current feeling about EK381?,What is your preferred caffeine source?,At what age did you get your first smartphone?,"How many countries have you visited? (Please provide your answer as a number, not a list of countries.)","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Loved it! ]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Liked it.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Just OK.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Didn't like it.]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Hated it!]","Rate the following movies. (A bit of a random mix, but hopefully you've heard of most of them.) [Never seen it.]",Optional: What was an aspect of a previous course that really helped you succeed?,How would you rate your understanding of Python programming?,Optional: Any suggestions for how we can make this a good semester?
9/1/2024 16:10:04,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Coffee,12,3,"Avengers: Endgame, Everything Everywhere All at Once","Barbie, Die Hard, Dune",Encanto,,,"Booksmart, Deadpool and Wolverine",,Beginner,
9/1/2024 16:11:00,ME,Pen-and-paper math,No,Hoping to get a good grade.,Coffee,9,1,"Avengers: Endgame, Dune, Interstellar, Spider-Man: Into the Spiderverse","Deadpool and Wolverine, Encanto, Everything Everywhere All at Once, Get Out, Oppenheimer",My Neighbor Totoro,,,"Barbie, Booksmart, Die Hard, Inside Out 2, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, Poor Things, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",Helpful lectures.,Competent,
9/1/2024 16:11:00,CE,Programming algorithms,No,Hoping to get a good grade.,Energy Drink,14,3,Spider-Man: Into the Spiderverse,"Avengers: Endgame, Dune, Encanto, Everything Everywhere All at Once",Barbie,,,"Booksmart, Deadpool and Wolverine, Die Hard, Get Out, Inside Out 2, Interstellar, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",Slides with info on it to study on our own,Beginner,
9/1/2024 16:47:33,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Hoping to get a good grade.,Energy Drink,10,9,Barbie,"Encanto, Everything Everywhere All at Once",,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune",office hours,I have never used Python.,
9/1/2024 16:50:10,ME,Programming algorithms,No,Hoping to get a good grade.,I don't drink caffeinated drinks.,14,9,"Avengers: Endgame, Deadpool and Wolverine",,,,,"Barbie, Booksmart, Die Hard, Dune, Encanto, Everything Everywhere All at Once",,Beginner,
9/1/2024 17:08:58,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Coffee,10,5,"Dune, Interstellar, Oppenheimer, Spider-Man: Into the Spiderverse, The Matrix","Avengers: Endgame, Deadpool and Wolverine, Encanto, Get Out, Inside Out 2, Jurassic Park, Back to the Future, Knives Out",,,,"Barbie, Booksmart, Die Hard, Everything Everywhere All at Once, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, Star Wars: A New Hope, To All The Boys I've Loved",Practice resources/questions for exams.,Competent,
9/1/2024 17:45:19,CE,Programming algorithms,Yes,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,14,4,,Avengers: Endgame,Encanto,,,"Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once",,Competent,
9/1/2024 17:57:40,ME,Writing reports and making presentations,No,Excited to learn foundational probability/statistics concepts.,Coffee,14,16,"Interstellar, Back to the Future, Oppenheimer","Avengers: Endgame, Die Hard, Dune, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix","Encanto, Jurassic Park",,,"Barbie, Booksmart, Deadpool and Wolverine, Everything Everywhere All at Once, Get Out, Inside Out 2, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, To All The Boys I've Loved",A good community support system to ask questions when held up,I have never used Python.,
9/1/2024 18:32:24,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Coffee,14,9,"Barbie, Knives Out, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Avengers: Endgame, Encanto, Inside Out 2, Star Wars: A New Hope, To All The Boys I've Loved","Back to the Future, Oppenheimer",,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Interstellar, Jurassic Park, Lady Bird, Mad Max: Fury Road, Poor Things, The Matrix",In-class problem solving with both classmates and professors,Competent,
9/1/2024 18:33:27,EE,Pen-and-paper math,Yes,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,13,2,"Interstellar, My Neighbor Totoro",,"Barbie, Mad Max: Fury Road",Poor Things,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Inside Out 2, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Oppenheimer, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",,Beginner,
9/1/2024 18:41:52,BME,Pen-and-paper math,Yes,Excited to learn foundational probability/statistics concepts.,Coffee,14,3,"Inside Out 2, Back to the Future","Barbie, Encanto","Jurassic Park, To All The Boys I've Loved",,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Interstellar, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix",,Beginner,
9/1/2024 18:52:05,ME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Coffee,13,17,"Everything Everywhere All at Once, Interstellar, Spider-Man: Into the Spiderverse","Avengers: Endgame, Deadpool and Wolverine, Die Hard, Dune, Jurassic Park, My Neighbor Totoro, Oppenheimer, The Matrix","Back to the Future, Knives Out, Star Wars: A New Hope",,,"Barbie, Booksmart, Encanto, Get Out, Lady Bird, Mad Max: Fury Road, Poor Things, To All The Boys I've Loved",Probably having a lot of examples for coursework and someone around who goes through course related material step by step to help achieve a greater understanding,I have never used Python.,
9/1/2024 19:14:15,BME,Pen-and-paper math,No,Hoping to get a good grade.,Coffee,13,8,"Avengers: Endgame, Barbie, Everything Everywhere All at Once",Encanto,,,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune",Office hours ,I have never used Python.,
9/1/2024 19:29:03,ME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,12,10,"Get Out, My Neighbor Totoro","Encanto, Inside Out 2, To All The Boys I've Loved",,,,"Avengers: Endgame, Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Interstellar, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix",Dedicating time everyday to studying for the class and focusing on doing problems and exercises instead of focusing on theory. Taking through notes and attending office hours. Forming study groups and working with others! ,I have never used Python.,
9/1/2024 19:34:08,CE,Programming algorithms,Yes,Hoping to get a good grade.,I don't drink caffeinated drinks.,16,6,"Everything Everywhere All at Once, Oppenheimer, Spider-Man: Into the Spiderverse, Star Wars: A New Hope","Avengers: Endgame, Die Hard, Encanto, Knives Out, My Neighbor Totoro",Jurassic Park,"Barbie, Back to the Future",,"Booksmart, Deadpool and Wolverine, Dune, Get Out, Inside Out 2, Interstellar, Lady Bird, Mad Max: Fury Road, Poor Things, The Matrix, To All The Boys I've Loved","homework that is less time consuming, allowing for more time to process content rather than just working to barely finish the work.",Expert,
9/1/2024 20:09:13,ME,Pen-and-paper math,Yes,Excited to learn about machine learning and data analysis.,Coffee,12,7,"Die Hard, Dune, Everything Everywhere All at Once",Barbie,,Avengers: Endgame,,"Booksmart, Deadpool and Wolverine, Encanto",that attendance wasn't mandatory--I prefer studying on my own and then filling in the blanks during office hours,Beginner,
9/1/2024 20:25:24,EE,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,14,3,"Avengers: Endgame, Die Hard",,,,,"Barbie, Booksmart, Deadpool and Wolverine, Dune, Encanto, Everything Everywhere All at Once",,Beginner,
9/1/2024 20:26:28,BME,Programming algorithms,Yes,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,7,10,"Inside Out 2, My Neighbor Totoro, Oppenheimer, Spider-Man: Into the Spiderverse, To All The Boys I've Loved",Avengers: Endgame,"Barbie, Deadpool and Wolverine, Interstellar",,,"Booksmart, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, Poor Things, Star Wars: A New Hope, The Matrix",,Competent,
9/1/2024 20:32:04,BME,Pen-and-paper math,Yes,Hoping to get a good grade.,Tea,13,4,"Interstellar, Jurassic Park, Back to the Future, Spider-Man: Into the Spiderverse","Barbie, Inside Out 2, Knives Out, Oppenheimer, The Matrix, To All The Boys I've Loved",Lady Bird,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, Star Wars: A New Hope",Professors clearly explaining difficult concepts in an easy to understand manner and doing practice problems with the class.,Beginner,
9/1/2024 20:55:31,EE,Pen-and-paper math,No,Hoping to get a good grade.,Coffee,12,8,"Inside Out 2, My Neighbor Totoro, Oppenheimer","Knives Out, Mad Max: Fury Road, The Matrix","Barbie, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Spider-Man: Into the Spiderverse, Star Wars: A New Hope","Avengers: Endgame, Deadpool and Wolverine, Interstellar",Jurassic Park,"Booksmart, Back to the Future, Lady Bird, Poor Things, To All The Boys I've Loved",,Beginner,
9/1/2024 21:46:20,ME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,12,2,,"Deadpool and Wolverine, Encanto",,,,"Avengers: Endgame, Barbie, Booksmart, Die Hard, Dune, Everything Everywhere All at Once",copying notes down from a video slide lecture and then watching people do practice problems and following along with it ,Beginner,
9/1/2024 21:46:57,ME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Energy Drink,12,12,,"Avengers: Endgame, Barbie",Encanto,,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once",,Competent,
9/1/2024 22:04:31,BME,Programming algorithms,No,Just want to get through the semester.,Tea,13,6,Barbie,,Avengers: Endgame,,,"Booksmart, Deadpool and Wolverine",,I have never used Python.,
9/1/2024 22:19:38,EE,Pen-and-paper math,Yes,Hoping to get a good grade.,Soda,13,5,"Avengers: Endgame, Oppenheimer, Star Wars: A New Hope",,Barbie,,,"Booksmart, Deadpool and Wolverine, Die Hard, Dune, Encanto, Everything Everywhere All at Once, Get Out, Inside Out 2, Interstellar, Jurassic Park, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, Spider-Man: Into the Spiderverse, The Matrix, To All The Boys I've Loved",Going to office hours.,Beginner,
9/1/2024 22:22:34,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Excited to learn foundational probability/statistics concepts.,Energy Drink,12,15,"Lady Bird, Star Wars: A New Hope","Dune, Encanto, Jurassic Park, Back to the Future, Knives Out, Spider-Man: Into the Spiderverse","Avengers: Endgame, Barbie, Booksmart, To All The Boys I've Loved",,,"Deadpool and Wolverine, Die Hard, Everything Everywhere All at Once, Get Out, Inside Out 2, Interstellar, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, The Matrix",Keeping an interest in the subjects myself ,I have never used Python.,
9/1/2024 22:44:47,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Hoping to get a good grade.,Energy Drink,13,5,"Avengers: Endgame, Everything Everywhere All at Once, Interstellar, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Barbie, Dune, Encanto, Get Out, Jurassic Park, Mad Max: Fury Road, Oppenheimer",Deadpool and Wolverine,,,"Booksmart, Die Hard, Inside Out 2, Back to the Future, Knives Out, Lady Bird, Poor Things, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",,Beginner,
9/1/2024 23:30:25,ME,Pen-and-paper math,Yes,Hoping to get a good grade.,I don't drink caffeinated drinks.,12,4,"Avengers: Endgame, Everything Everywhere All at Once, Spider-Man: Into the Spiderverse","Deadpool and Wolverine, Jurassic Park, Star Wars: A New Hope, The Matrix",Encanto,,,"Barbie, Booksmart, Die Hard, Dune, Get Out, Inside Out 2, Interstellar, Back to the Future, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, To All The Boys I've Loved",,Beginner,
9/1/2024 23:46:22,ME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Tea,12,3,"Dune, Interstellar, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix","Avengers: Endgame, Barbie, Jurassic Park","Encanto, Back to the Future",,,"Booksmart, Deadpool and Wolverine, Die Hard, Everything Everywhere All at Once, Get Out, Inside Out 2, Knives Out, Lady Bird, To All The Boys I've Loved",,Competent,
9/2/2024 2:06:19,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Excited to learn foundational probability/statistics concepts.,Soda,13,1,,"Avengers: Endgame, Barbie, Deadpool and Wolverine, Encanto, Get Out, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Jurassic Park, Back to the Future, Knives Out, Lady Bird, Star Wars: A New Hope, The Matrix, To All The Boys I've Loved",,,"Booksmart, Die Hard, Dune, Everything Everywhere All at Once, Inside Out 2, Interstellar, Mad Max: Fury Road, Oppenheimer, Poor Things",I think have more frequent smaller exams rather then large cumulative ones. Along with access to notes,Competent,
9/2/2024 2:15:41,EE,Pen-and-paper math,No,Hoping to get a good grade.,Energy Drink,14,2,"Avengers: Endgame, Barbie, Deadpool and Wolverine",,Dune,,,"Booksmart, Die Hard, Encanto, Everything Everywhere All at Once",helpful TA and resources,I have never used Python.,
9/2/2024 8:30:38,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Coffee,11,0,"Barbie, Lady Bird","Encanto, To All The Boys I've Loved",,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out, Inside Out 2, Interstellar, Jurassic Park, Back to the Future, Knives Out, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse, Star Wars: A New Hope, The Matrix",,I have never used Python.,
9/2/2024 8:34:32,ME,Programming algorithms,No,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,14,18,"Avengers: Endgame, Deadpool and Wolverine, Die Hard, Encanto, Everything Everywhere All at Once, Back to the Future, My Neighbor Totoro, Oppenheimer, Spider-Man: Into the Spiderverse","Barbie, Get Out, Inside Out 2, Interstellar, Jurassic Park, Star Wars: A New Hope, The Matrix",Knives Out,,,"Booksmart, Dune, Lady Bird, Mad Max: Fury Road, Poor Things, To All The Boys I've Loved",Practice problems with guided solutions,Competent,
9/2/2024 9:40:28,BME,Programming algorithms,Yes,Excited to learn foundational probability/statistics concepts.,Tea,12,8,Barbie,"Avengers: Endgame, Dune",,,,"Booksmart, Deadpool and Wolverine, Die Hard, Encanto, Everything Everywhere All at Once",I found office hours very helpful.,Competent,
9/2/2024 9:52:41,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Excited to learn foundational probability/statistics concepts.,Coffee,12,12,Die Hard,"Barbie, Encanto",Avengers: Endgame,Deadpool and Wolverine,Everything Everywhere All at Once,"Booksmart, Dune",weekly quizzes for participation,Beginner,
9/2/2024 9:58:41,CE,Programming algorithms,No,Excited to learn about machine learning and data analysis.,Energy Drink,11,3,"Avengers: Endgame, Barbie, Deadpool and Wolverine, Encanto, Everything Everywhere All at Once","Booksmart, Die Hard, Dune",,,,,"In EC 327, my professor would sometimes pull a question from the homework, alter it in some way, and then work through the example with us. I feel like that was very helpful for students who had never taken a programming class before.",Beginner,
9/2/2024 9:58:42,BME,Pen-and-paper math,Yes,Excited to learn about machine learning and data analysis.,Tea,13,20,Everything Everywhere All at Once,Encanto,Dune,Barbie,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard",Challenging homework,I have never used Python.,
9/2/2024 10:22:58,EE,Writing reports and making presentations,Yes,Excited to learn about machine learning and data analysis.,Coffee,18+,9,,Dune,"Die Hard, Encanto",,,"Avengers: Endgame, Barbie, Booksmart, Deadpool and Wolverine, Everything Everywhere All at Once","Big Picture Previews/Reviews: seeing how the components add up to connect and relate to the big picture. My Linear Algebra professor drew a mind map as a way for us to prepare for an exam and it helped me navigate from one concept to another, to see similarities and differences between concepts. ",Beginner,
9/2/2024 10:25:30,ME,Pen-and-paper math,No,Just want to get through the semester.,Energy Drink,13,10,"Avengers: Endgame, Barbie, Interstellar, Jurassic Park, Back to the Future, Mad Max: Fury Road, My Neighbor Totoro, The Matrix","Die Hard, Dune, Get Out, Knives Out, Spider-Man: Into the Spiderverse",,,,"Booksmart, Deadpool and Wolverine, Encanto, Everything Everywhere All at Once, Inside Out 2, Oppenheimer, Poor Things, Star Wars: A New Hope, To All The Boys I've Loved",interactive classes ,Competent,
9/2/2024 10:32:11,CE,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Coffee,12,4,Barbie,"Avengers: Endgame, Dune","Die Hard, Encanto",Everything Everywhere All at Once,,"Booksmart, Deadpool and Wolverine",Strong examples that showed multiple ways of thinking,I have never used Python.,
9/2/2024 10:37:43,CE,Pen-and-paper math,No,Hoping to get a good grade.,Coffee,15,18 or 20 (Depending on what you count),"Avengers: Endgame, Barbie, Deadpool and Wolverine, Dune, Everything Everywhere All at Once","Die Hard, Encanto",,,,Booksmart,"ENG EC311, I liked Prof. Densmore a lot and felt like I learned a lot even though I didn't necessarily love the class's material.",Beginner,
9/2/2024 11:00:40,BME,Pen-and-paper math,No,Excited to learn about machine learning and data analysis.,Soda,14,One ,"Avengers: Endgame, Barbie, Booksmart, Deadpool and Wolverine, Die Hard, Encanto",,"Dune, Everything Everywhere All at Once",,,,,Beginner,
9/2/2024 11:09:22,CE,Writing reports and making presentations,Yes,Hoping to get a good grade.,Soda,13,12,"Encanto, Inside Out 2",,,Barbie,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Dune, Everything Everywhere All at Once, Get Out",,Competent,
9/2/2024 11:17:29,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Coffee,10,1,"Barbie, Back to the Future","Die Hard, The Matrix","Avengers: Endgame, Encanto, Jurassic Park","Star Wars: A New Hope, To All The Boys I've Loved",,"Booksmart, Deadpool and Wolverine, Dune, Everything Everywhere All at Once, Get Out, Inside Out 2, Interstellar, Knives Out, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Oppenheimer, Poor Things, Spider-Man: Into the Spiderverse","In previous courses, the thing that helped me the most was repetitive exposure to content. Specifically, access to things like practice exams, additional practice problems, and review sessions help me solidify my understanding of the content.",I have never used Python.,
9/2/2024 11:22:57,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,Coffee,13,1,"Barbie, Encanto","Avengers: Endgame, Deadpool and Wolverine",,,,"Booksmart, Die Hard, Dune, Everything Everywhere All at Once","Having a professor who truly cares about the students and various office hours. Having to read the book before class and then apply what was learned in class, and a lot of visual examples (I am a visual learner) ",Competent,
9/2/2024 11:25:13,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Excited to learn about machine learning and data analysis.,Coffee,12,3,"Avengers: Endgame, Everything Everywhere All at Once, Interstellar, Back to the Future, Knives Out, Oppenheimer, The Matrix","Barbie, Dune, Encanto, Inside Out 2, Spider-Man: Into the Spiderverse, Star Wars: A New Hope",,,,"Booksmart, Deadpool and Wolverine, Die Hard, Get Out, Jurassic Park, Lady Bird, Mad Max: Fury Road, My Neighbor Totoro, Poor Things, To All The Boys I've Loved",Hands-on work that has a creative and/or fun nature,I have never used Python.,
9/2/2024 11:34:58,BME,Pen-and-paper math,Yes,Hoping to get a good grade.,I don't drink caffeinated drinks.,14,0,"Dune, Everything Everywhere All at Once","Avengers: Endgame, Die Hard","Deadpool and Wolverine, Encanto",,,"Barbie, Booksmart",Communication with the Professor. ,Beginner,
9/2/2024 11:44:34,BME,"Collecting data (in a ""wet lab"" or other setting)",Yes,Hoping to get a good grade.,Coffee,14,4,"Barbie, Deadpool and Wolverine, My Neighbor Totoro, Spider-Man: Into the Spiderverse","Booksmart, Get Out, Knives Out, To All The Boys I've Loved","Encanto, Jurassic Park, Lady Bird, Mad Max: Fury Road, Star Wars: A New Hope",,,"Avengers: Endgame, Die Hard, Dune, Everything Everywhere All at Once, Inside Out 2, Interstellar, Back to the Future, Oppenheimer, Poor Things, The Matrix",LOTS of examples ,I have never used Python.,
9/2/2024 11:51:11,BME,Programming algorithms,Yes,Excited to learn about machine learning and data analysis.,I don't drink caffeinated drinks.,14,38,,"Avengers: Endgame, Barbie, Encanto",,Dune,,"Booksmart, Deadpool and Wolverine, Die Hard, Everything Everywhere All at Once",Practice tests before midterms/final,Beginner,
9/2/2024 12:17:30,BME,"Collecting data (in a ""wet lab"" or other setting)",No,Just want to get through the semester.,I don't drink caffeinated drinks.,13,3,,"Avengers: Endgame, Everything Everywhere All at Once","Barbie, Die Hard",,,"Booksmart, Deadpool and Wolverine, Dune, Encanto",Engaging instructor,I have never used Python.,
9/2/2024 12:25:55,CE,Programming algorithms,No,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,13,12,"Avengers: Endgame, Barbie",Booksmart,,,,Deadpool and Wolverine,,Expert,
9/2/2024 12:49:09,BME,Pen-and-paper math,No,Excited to learn foundational probability/statistics concepts.,I don't drink caffeinated drinks.,12,2,"Dune, Everything Everywhere All at Once",Barbie,,,,"Avengers: Endgame, Booksmart, Deadpool and Wolverine, Die Hard, Encanto","Doing the homework always helps, practicing.",I have never used Python.,
